trial,card,demanded_criterion,selected_criterion,feedback,total_streaks
1,"[2, 2, 3, 3]",2,1,False,
2,"[1, 1, 3, 1]",2,2,True,
3,"[3, 1, 1, 2]",2,2,True,
4,"[1, 3, 2, 2]",2,2,True,
5,"[3, 2, 1, 1]",2,2,True,
6,"[3, 2, 3, 3]",2,2,True,
7,"[2, 3, 3, 3]",2,2,True,
8,"[3, 1, 1, 1]",2,2,True,
9,"[2, 2, 1, 1]",2,2,True,
10,"[1, 2, 2, 3]",2,2,True,
11,"[3, 2, 1, 2]",2,2,True,1.0
12,"[3, 3, 2, 2]",3,2,True,
13,"[2, 2, 3, 1]",3,2,False,
14,"[2, 1, 2, 2]",3,2,True,
15,"[1, 2, 1, 3]",3,2,False,
16,"[2, 3, 3, 2]",3,2,False,
17,"[2, 1, 3, 1]",3,2,False,
18,"[1, 2, 2, 2]",3,2,True,
19,"[3, 3, 1, 2]",3,2,False,
20,"[2, 1, 3, 2]",3,2,False,
21,"[2, 1, 1, 2]",3,2,False,
22,"[2, 1, 1, 3]",3,2,False,
23,"[3, 1, 2, 1]",3,2,False,
24,"[3, 1, 3, 1]",3,2,False,
25,"[1, 3, 1, 1]",3,2,True,
26,"[2, 1, 2, 3]",3,2,False,
27,"[3, 2, 2, 2]",3,2,True,
28,"[2, 3, 1, 1]",3,2,True,
29,"[3, 1, 2, 2]",3,2,True,
30,"[1, 1, 2, 2]",3,2,True,
31,"[2, 3, 1, 3]",3,2,False,
32,"[3, 3, 3, 2]",3,2,False,
33,"[1, 2, 1, 1]",3,2,True,
34,"[1, 2, 3, 2]",3,2,False,
35,"[1, 1, 3, 3]",3,2,True,
36,"[2, 2, 2, 2]",3,2,True,
37,"[1, 1, 1, 3]",3,2,False,
38,"[3, 2, 3, 1]",3,2,False,
39,"[2, 3, 2, 2]",3,2,True,
40,"[3, 2, 2, 1]",3,2,False,
41,"[2, 1, 2, 1]",3,2,False,
42,"[1, 2, 1, 2]",3,2,False,
43,"[2, 3, 2, 3]",3,2,False,
44,"[1, 2, 2, 1]",3,2,False,
45,"[2, 3, 2, 1]",3,2,False,
46,"[2, 1, 3, 3]",3,2,True,
47,"[2, 2, 1, 3]",3,2,False,
48,"[3, 3, 1, 1]",3,2,True,
49,"[2, 2, 1, 2]",3,2,False,
50,"[2, 2, 2, 1]",3,2,False,
51,"[1, 3, 2, 1]",3,2,False,
52,"[3, 3, 3, 1]",3,3,True,
53,"[2, 2, 3, 2]",3,3,True,
54,"[1, 3, 3, 3]",3,3,True,
55,"[3, 1, 3, 2]",3,3,True,
56,"[2, 3, 1, 2]",3,3,True,
57,"[1, 3, 2, 3]",3,3,True,
58,"[3, 2, 3, 2]",3,3,True,
59,"[1, 1, 2, 3]",3,3,True,
60,"[3, 3, 3, 3]",3,3,True,
61,"[2, 1, 1, 1]",3,3,True,2.0
62,"[3, 2, 1, 3]",0,3,True,
63,"[1, 3, 1, 2]",0,3,False,
64,"[1, 3, 1, 3]",0,3,False,
65,"[1, 2, 3, 1]",0,3,True,
66,"[3, 2, 2, 3]",0,3,True,
67,"[2, 3, 3, 1]",0,3,False,
68,"[1, 2, 3, 3]",0,3,False,
69,"[3, 3, 2, 1]",0,3,False,
70,"[1, 3, 3, 2]",0,3,False,
71,"[3, 3, 2, 3]",0,3,True,
72,"[3, 1, 3, 3]",0,3,True,
73,"[1, 3, 3, 1]",0,3,True,
74,"[1, 1, 3, 2]",0,3,False,
75,"[1, 1, 2, 1]",0,3,True,
76,"[3, 1, 1, 3]",0,3,True,
77,"[3, 3, 1, 3]",0,3,True,
78,"[3, 1, 2, 3]",0,3,True,
